"year_week" "ranking" "change_grp" "change_val" "title" "artist" "gaon_index" "production" "distribution"
"202204" "164" "new" "new" "마지막 너의 인사" "헤이즈 (Heize)" 9452887 "냠냠엔터테인먼트" "지니뮤직, Stone Music Entertainment"
"202204" "165" "down" "36" "너, 너" "스트레이 (The Stray)" 9443865 "파스텔뮤직" "NHN벅스"
"202204" "166" "down" "39" "멜로디" "ASH ISLAND" 9410905 "앰비션뮤직" "지니뮤직, Stone Music Entertainment"
"202204" "167" "new" "new" "LAST DANCE" "BIGBANG (빅뱅)" 9383333 "YG PLUS" "YG PLUS"
"202204" "168" "down" "12" "METEOR" "창모 (CHANGMO)" 9327341 "앰비션뮤직" "지니뮤직, Stone Music Entertainment"
"202204" "169" "down" "11" "Timeless" "SG 워너비" 9305646 "Stone Music Entertainment" "지니뮤직"
"202204" "170" "down" "20" "오래된 노래" "스탠딩 에그(Standing Egg)" 9274384 "BORN" "Kakao Entertainment"
"202204" "171" "down" "24" "사계 (Four Seasons)" "태연 (TAEYEON)" 9261829 "SM Entertainment" "Dreamus"
"202204" "172" "new" "new" "사건의 지평선" "윤하 (YOUNHA)" 9236217 "C9엔터테인먼트" "Kakao Entertainment"
"202204" "173" "new" "new" "All 4 Nothing (I`m So In Love)" "Lauv" 9217347 "Lauv" "Universal Music"
"202204" "174" "down" "33" "늦은 후회" "조현아" 8983480 "방구석 캐스팅" "Kakao Entertainment"
"202204" "175" "down" "14" "Bad" "Christopher" 8945355 "Parlophone Denmark" "Warner Music"
"202204" "176" "down" "7" "parachute" "John K" 8808851 "Epic" "Sony Music"
"202204" "177" "down" "34" "우린 어떠한 별보다 빛날 거야" "이하이" 8791514 "제나두 엔터테인먼트" "NHN벅스"
"202204" "178" "new" "new" "찾았다 내 사랑" "V.O.S" 8774867 "방구석 캐스팅" "Kakao Entertainment"
"202204" "179" "up" "HOT" "Love Blossom (러브블러썸)" "케이윌 (K.Will)" 8770338 "스타쉽엔터테인먼트" "Kakao Entertainment"
"202204" "180" "down" "34" "비와 당신" "이무진" 8767395 "스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment" "지니뮤직, Stone Music Entertainment"
"202204" "181" "down" "22" "너를 만나" "폴킴" 8676670 "뉴런뮤직" "Kakao Entertainment"
"202204" "182" "down" "15" "어푸 (Ah puh)" "아이유 (IU)" 8662455 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "183" "up" "39" "아이와 나의 바다" "아이유 (IU)" 8618047 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "184" "down" "8" "아로하" "조정석" 8528790 "스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment" "지니뮤직, Stone Music Entertainment"
"202204" "185" "down" "90" "사랑이 아니었다고 말하지 마요" "이예준" 8511377 "이예준" "Kakao Entertainment"
"202204" "186" NA "-" "Shape of You" "Ed Sheeran" 8437651 "Atlantic Records UK" "Warner Music"
"202204" "187" "up" "10" "Dolphin" "오마이걸 (OH MY GIRL)" 8412140 "WM엔터테인먼트" "Sony Music"
"202204" "188" "down" "55" "Life Goes On" "방탄소년단" 8367136 "BIGHIT MUSIC / HYBE" "YG PLUS"
"202204" "189" "down" "14" "Rainy day (Feat. ASH ISLAND, Skinny Br..." "PATEKO (파테코)" 8323483 "tokkinny records" "YG PLUS"
"202204" "190" "down" "121" "그래서 그래 (Feat. 윤하)" "에픽하이 (EPIK HIGH)" 8285918 "아워즈" "지니뮤직"
"202204" "191" "down" "28" "거리에서" "성시경" 8275724 "제로원인터랙티브" "더늠"
"202204" "192" "down" "5" "마음을 드려요" "아이유 (IU)" 8266031 "EDAM엔터테인먼트" "Kakao Entertainment"
"202204" "193" "new" "new" "그대가 있기에" "노을" 8263190 "축가(祝歌)프로젝트" "Kakao Entertainment"
"202204" "194" "down" "58" "나 그댈위해 시 한편을 쓰겠어" "케이시 (Kassy)" 8198306 "넥스타엔터테인먼트" "Kakao Entertainment"
"202204" "195" "down" "43" "좋아좋아" "조정석" 8189237 "스튜디오 마음C, 에그이즈커밍, Stone Music Entertainment" "지니뮤직, Stone Music Entertainment"
"202204" "196" "new" "new" "That That (prod. & feat. SUGA of BTS)" "싸이 (Psy)" 8140671 "피네이션" "Dreamus"
"202204" "197" "down" "26" "첫눈처럼 너에게 가겠다" "에일리 (Ailee)" 8119588 "Stone Music Entertainment, 화앤담픽쳐스" "지니뮤직, Stone Music Entertainment"
"202204" "198" "new" "new" "Rewind" "NCT DREAM" 8093160 "SM Entertainment" "Dreamus"
